iter	RMSE
0	8.564359831
1	7.874381749
2	7.266170794
3	6.724058843
4	6.243224543
5	5.820500599
6	5.451499093
7	5.125804378
8	4.846562596
9	4.603333729
10	4.389694843
11	4.204360238
12	4.045136394
13	3.90612372
14	3.789012689
15	3.685018546
16	3.595747531
17	3.520374136
18	3.454477738
19	3.394926879
20	3.346969237
21	3.302405451
22	3.266812792
23	3.229841665
24	3.20096913
25	3.175034235
26	3.154168581
27	3.13153469
28	3.115362471
29	3.099140552
30	3.082913985
31	3.070078718
32	3.058281511
33	3.046599335
34	3.03495222
35	3.026147531
36	3.017991889
37	3.010584343
38	3.001638342
39	2.993656061
40	2.987912539
41	2.980849471
42	2.974078219
43	2.967664112
44	2.9610839
45	2.955922775
46	2.949883534
47	2.945432817
48	2.940093573
49	2.935550562
50	2.931726226
51	2.927524192
52	2.923550144
53	2.918776173
54	2.91337737
55	2.909098126
56	2.905117704
57	2.90249737
58	2.899557092
59	2.897162044
60	2.892918585
61	2.889604967
62	2.887638632
63	2.8832842
64	2.880145986
65	2.876950203
66	2.871874455
67	2.869045373
68	2.865970057
69	2.862825732
70	2.860364115
71	2.857883772
72	2.856242442
73	2.853659064
74	2.850417028
75	2.849163072
76	2.846813662
77	2.843432227
78	2.840296487
79	2.838337458
80	2.836965105
81	2.833662586
82	2.832267551
83	2.829781168
84	2.826938927
85	2.824713175
86	2.822992941
87	2.820958042
88	2.819898895
89	2.818561646
90	2.816703751
91	2.813926778
92	2.812775924
93	2.810547179
94	2.808978467
95	2.805681146
96	2.804008894
97	2.80281024
98	2.801027722
99	2.79836353
100	2.796682795
101	2.795782263
102	2.79432741
103	2.792455542
104	2.791311346
105	2.790169036
106	2.787953104
107	2.785703027
108	2.783145693
109	2.781046801
110	2.77933394
111	2.777862013
112	2.7758699
113	2.774157316
114	2.772642157
115	2.771010214
116	2.769487122
117	2.767576035
118	2.766596355
119	2.765893133
120	2.763077016
121	2.761953735
122	2.760155722
123	2.758223605
124	2.757008809
125	2.755669947
126	2.754051585
127	2.753460188
128	2.751635515
129	2.750108895
130	2.748574003
131	2.747626478
132	2.746631998
133	2.745242049
134	2.744147551
135	2.743189594
136	2.742244309
137	2.741642075
138	2.74042843
139	2.739266356
140	2.738277029
141	2.737531663
142	2.736592778
143	2.734892954
144	2.733626341
145	2.732764212
146	2.731805676
147	2.7305952
148	2.729310483
149	2.728578272
150	2.7277252
151	2.726819765
152	2.725059861
153	2.724054513
154	2.721835463
155	2.720670366
156	2.719769802
157	2.718838671
158	2.717899202
159	2.716766264
160	2.715981833
161	2.714742849
162	2.713805454
163	2.713145528
164	2.711956658
165	2.711013924
166	2.710348754
167	2.709529878
168	2.708975005
169	2.70824452
170	2.70713375
171	2.706451833
172	2.705370068
173	2.704289216
174	2.703925658
175	2.703258947
176	2.702470829
177	2.701591391
178	2.700922666
179	2.699682368
180	2.698680578
181	2.697473999
182	2.696368306
183	2.695551582
184	2.695119592
185	2.694346051
186	2.693777961
187	2.692847324
188	2.691466052
189	2.690779056
190	2.690007631
191	2.689451913
192	2.688763021
193	2.688024526
194	2.687436761
195	2.686913294
196	2.685874444
197	2.685050156
198	2.684602799
199	2.684238131
200	2.683822547
201	2.682858536
202	2.682010601
203	2.681666433
204	2.681043211
205	2.680154153
206	2.679447651
207	2.678709306
208	2.678034995
209	2.677707637
210	2.677063439
211	2.675714283
212	2.67503674
213	2.674238434
214	2.673382432
215	2.672438762
216	2.671830738
217	2.671219
218	2.670649573
219	2.670221194
220	2.669911123
221	2.669254955
222	2.668645107
223	2.668049757
224	2.667679367
225	2.667146904
226	2.666331454
227	2.665417456
228	2.664622212
229	2.664240688
230	2.663786716
231	2.663032178
232	2.662098665
233	2.661662241
234	2.660418638
235	2.660013865
236	2.659405968
237	2.658978431
238	2.658228807
239	2.65782475
240	2.657313583
241	2.656071359
242	2.655642064
243	2.65516035
244	2.654932799
245	2.654126629
246	2.653071392
247	2.652348284
248	2.651830887
249	2.651338244
250	2.650927835
251	2.650374791
252	2.649926283
253	2.649417615
254	2.648895989
255	2.648352216
256	2.64801092
257	2.647599668
258	2.647330072
259	2.646738524
260	2.646186368
261	2.645864997
262	2.645346555
263	2.645023298
264	2.644673701
265	2.644361696
266	2.643745793
267	2.643166729
268	2.642815566
269	2.641892173
270	2.64137255
271	2.640714282
272	2.640202237
273	2.639599448
274	2.639267922
275	2.638673292
276	2.638442947
277	2.638147278
278	2.637910576
279	2.637452798
280	2.637114877
281	2.636728928
282	2.636358337
283	2.635873294
284	2.635504179
285	2.635167575
286	2.634631417
287	2.634147997
288	2.633758664
289	2.633313354
290	2.632874714
291	2.63241256
292	2.632046401
293	2.63156963
294	2.631210941
295	2.630782722
296	2.630332085
297	2.630023626
298	2.629637191
299	2.629077184
