iter	Passed	Remaining
0	371	111121
1	594	88561
2	816	80878
3	1024	75800
4	1247	73630
5	1468	71939
6	1691	70790
7	1893	69130
8	2107	68135
9	2305	66864
10	2512	66012
11	2732	65577
12	2950	65127
13	3152	64407
14	3365	63950
15	3575	63463
16	3779	62915
17	3988	62489
18	4181	61839
19	4389	61450
20	4607	61208
21	4807	60753
22	5052	60853
23	5255	60441
24	5457	60029
25	5696	60030
26	5893	59589
27	6097	59229
28	6306	58937
29	6504	58540
30	6715	58275
31	6947	58188
32	7160	57936
33	7352	57523
34	7575	57360
35	7771	56991
36	7990	56795
37	8213	56628
38	8406	56260
39	8610	55966
40	8836	55822
41	9040	55537
42	9260	55347
43	9451	54987
44	9691	54918
45	9920	54779
46	10173	54761
47	10434	54778
48	10677	54696
49	10889	54445
50	11096	54178
51	11330	54040
52	11554	53848
53	11790	53711
54	12076	53795
55	12311	53643
56	12494	53265
57	12751	53203
58	12970	52982
59	13217	52869
60	13462	52746
61	13665	52458
62	13914	52344
63	14101	51997
64	14329	51804
65	14570	51657
66	14812	51511
67	15035	51297
68	15222	50961
69	15458	50793
70	15683	50584
71	15900	50352
72	16144	50202
73	16378	50022
74	16554	49663
75	16789	49485
76	16981	49179
77	17186	48916
78	17448	48811
79	17666	48584
80	17875	48329
81	18095	48107
82	18316	47888
83	18535	47661
84	18777	47495
85	18960	47180
86	19146	46875
87	19392	46717
88	19615	46504
89	19802	46206
90	20010	45957
91	20257	45800
92	20468	45557
93	20690	45343
94	20892	45083
95	21128	44897
96	21351	44683
97	21560	44440
98	21801	44263
99	22025	44051
100	22278	43896
101	22497	43671
102	22753	43518
103	22981	43311
104	23208	43102
105	23385	42799
106	23629	42620
107	23875	42445
108	24097	42226
109	24342	42045
110	24585	41861
111	24789	41610
112	24967	41317
113	25184	41090
114	25396	40855
115	25629	40653
116	25820	40385
117	26060	40195
118	26281	39974
119	26512	39769
120	26754	39578
121	26947	39317
122	27134	39047
123	27370	38848
124	27589	38625
125	27833	38436
126	28072	38240
127	28290	38014
128	28505	37786
129	28758	37607
130	28988	37398
131	29229	37200
132	29419	36940
133	29656	36738
134	29888	36530
135	30083	36277
136	30292	36041
137	30508	35813
138	30742	35607
139	30948	35369
140	31175	35154
141	31401	34939
142	31588	34681
143	31798	34448
144	31998	34205
145	32228	33994
146	32440	33764
147	32674	33557
148	32864	33305
149	33082	33082
150	33314	32873
151	33487	32605
152	33719	32396
153	33943	32180
154	34192	31986
155	34428	31779
156	34633	31544
157	34864	31333
158	35096	31123
159	35317	30902
160	35499	30648
161	35736	30441
162	35927	30196
163	36120	29953
164	36350	29741
165	36562	29514
166	36806	29312
167	37010	29079
168	37200	28835
169	37405	28603
170	37639	28394
171	37826	28149
172	38032	27919
173	38284	27723
174	38535	27525
175	38737	27292
176	38922	27048
177	39145	26829
178	39360	26606
179	39569	26379
180	39792	26162
181	40010	25940
182	40213	25710
183	40425	25485
184	40599	25237
185	40781	24994
186	40984	24766
187	41164	24523
188	41428	24330
189	41651	24114
190	41885	23903
191	42129	23697
192	42351	23479
193	42583	23267
194	42801	23047
195	43024	22829
196	43269	22622
197	43476	22396
198	43707	22183
199	43892	21946
200	44106	21724
201	44356	21519
202	44641	21331
203	44830	21096
204	45069	20886
205	45279	20661
206	45494	20439
207	45702	20214
208	45952	20008
209	46141	19775
210	46363	19556
211	46573	19332
212	46832	19128
213	47061	18912
214	47270	18688
215	47482	18465
216	47756	18266
217	47947	18035
218	48176	17818
219	48364	17587
220	48600	17373
221	48817	17151
222	49063	16941
223	49294	16724
224	49498	16499
225	49685	16268
226	49893	16045
227	50095	15819
228	50292	15592
229	50502	15370
230	50700	15144
231	50946	14932
232	51141	14705
233	51380	14492
234	51607	14274
235	51841	14058
236	52067	13840
237	52263	13614
238	52473	13392
239	52684	13171
240	52968	12967
241	53189	12747
242	53496	12548
243	53728	12331
244	53910	12102
245	54160	11888
246	54407	11674
247	54645	11457
248	54883	11241
249	55107	11021
250	55337	10802
251	55535	10578
252	55759	10358
253	55956	10133
254	56182	9914
255	56392	9692
256	56614	9472
257	56857	9255
258	57051	9031
259	57300	8815
260	57499	8591
261	57734	8373
262	57934	8150
263	58184	7934
264	58401	7713
265	58588	7488
266	58817	7269
267	59028	7048
268	59276	6831
269	59609	6623
270	59860	6405
271	60083	6185
272	60324	5966
273	60586	5749
274	60787	5526
275	61042	5308
276	61217	5083
277	61442	4862
278	61664	4641
279	61915	4422
280	62122	4200
281	62345	3979
282	62567	3758
283	62768	3536
284	62996	3315
285	63215	3094
286	63470	2874
287	63682	2653
288	63906	2432
289	64112	2210
290	64346	1990
291	64583	1769
292	64855	1549
293	65111	1328
294	65371	1107
295	65675	887
296	65950	666
297	66164	444
298	66340	221
299	66546	0
